id,user_uuid,hour,age,weight,height,gender,at,rh,met,cl,hr,st,ati(-3-3),ati(0-6)
1,38318fba-8b8a-4ee3-bb66-8d678f1aad03,21,19,70,176,1,25.33358,55.03636,1.114285714,0.47,86,30,0,3
2,38318fba-8b8a-4ee3-bb66-8d678f1aad03,21,19,70,176,1,25.2573745,58.3366765,1.257142857,0.47,72,31,0,3
3,38318fba-8b8a-4ee3-bb66-8d678f1aad03,21,19,70,176,1,25.311282,59.00144,1.15270936,0.47,89,31,0,3
4,38318fba-8b8a-4ee3-bb66-8d678f1aad03,22,19,70,176,1,25.334916,58.009603,1.193877551,0.47,74,31,0,3
5,38318fba-8b8a-4ee3-bb66-8d678f1aad03,22,19,70,176,1,25.333581,56.980052,1.248266297,0.47,78,31,0,3
6,38318fba-8b8a-4ee3-bb66-8d678f1aad03,22,19,70,176,1,25.1385505,55.5704215,1.23065851,0.47,73,31,0,3
7,38318fba-8b8a-4ee3-bb66-8d678f1aad03,22,19,70,176,1,25.1385505,55.5704215,1.203647416,0.47,73,30,-1,2
8,38318fba-8b8a-4ee3-bb66-8d678f1aad03,22,19,70,176,1,25.1918955,54.5402515,1.186813187,0.47,83,30,0,3
9,38318fba-8b8a-4ee3-bb66-8d678f1aad03,22,19,70,176,1,25.261325,53.424551,1.316431009,0.47,69,30,-2,1
10,38318fba-8b8a-4ee3-bb66-8d678f1aad03,22,19,70,176,1,25.261325,53.424551,0.829493088,0.47,82,30,-1,2
11,38318fba-8b8a-4ee3-bb66-8d678f1aad03,23,19,70,176,1,25.218705,53.0346485,1.320939335,0.47,79,30,-1,2
12,38318fba-8b8a-4ee3-bb66-8d678f1aad03,23,19,70,176,1,25.1772165,53.51791,1.113610799,0.47,78,30,-1,2
13,38318fba-8b8a-4ee3-bb66-8d678f1aad03,23,19,70,176,1,25.132626,52.5148465,1.285714286,0.47,69,30,-1,2
14,38318fba-8b8a-4ee3-bb66-8d678f1aad03,23,19,70,176,1,24.8402255,51.927384,1.197651663,0.47,82,31,-1,2
15,38318fba-8b8a-4ee3-bb66-8d678f1aad03,21,19,70,176,1,27.493837,56.5722335,1.2,0.54,83,32,0,3
16,38318fba-8b8a-4ee3-bb66-8d678f1aad03,21,19,70,176,1,27.2658585,55.8604025,1.188118812,0.47,77,32,0,3
17,38318fba-8b8a-4ee3-bb66-8d678f1aad03,21,19,70,176,1,27.2658585,55.8604025,1.37755102,0.47,75,32,0,3
18,38318fba-8b8a-4ee3-bb66-8d678f1aad03,21,19,70,176,1,27.1234955,56.042713,1.164021164,0.47,91,32,0,3
19,38318fba-8b8a-4ee3-bb66-8d678f1aad03,21,19,70,176,1,27.025754,55.5366025,1.202466598,0.47,78,32,0,3
20,38318fba-8b8a-4ee3-bb66-8d678f1aad03,21,19,70,176,1,27.025754,55.5366025,1.374045802,0.47,74,32,0,3
21,38318fba-8b8a-4ee3-bb66-8d678f1aad03,21,19,70,176,1,26.97779,56.122406,1.12412178,0.47,79,32,0,3
22,38318fba-8b8a-4ee3-bb66-8d678f1aad03,21,19,70,176,1,26.97779,56.122406,2.571428571,0.47,76,32,1,4
23,38318fba-8b8a-4ee3-bb66-8d678f1aad03,22,19,70,176,1,27.003585,57.644508,1.285714286,0.47,77,32,1,4
24,38318fba-8b8a-4ee3-bb66-8d678f1aad03,22,19,70,176,1,27.079135,58.056423,1.193877551,0.47,91,32,0,3
25,38318fba-8b8a-4ee3-bb66-8d678f1aad03,22,19,70,176,1,27.063081,57.2764775,1.179554391,0.47,76,32,0,3
26,38318fba-8b8a-4ee3-bb66-8d678f1aad03,22,19,70,176,1,27.0788,57.7474435,1.219649915,0.47,72,32,0,3
27,38318fba-8b8a-4ee3-bb66-8d678f1aad03,22,19,70,176,1,27.057805,57.7736985,1.224489796,0.47,77,32,1,4
28,38318fba-8b8a-4ee3-bb66-8d678f1aad03,22,19,70,176,1,27.100042,57.6500935,1.191395477,0.47,77,33,1,4
29,38318fba-8b8a-4ee3-bb66-8d678f1aad03,23,19,70,176,1,27.281264,59.8044985,1.224489796,0.47,70,33,1,4
30,38318fba-8b8a-4ee3-bb66-8d678f1aad03,23,19,70,176,1,27.4536885,60.963718,1.245421245,0.47,87,32,1,4
31,38318fba-8b8a-4ee3-bb66-8d678f1aad03,19,19,70,176,1,29.8827135,54.955048,1.246753247,0.54,74,31,0,3
32,38318fba-8b8a-4ee3-bb66-8d678f1aad03,19,19,70,176,1,28.4106935,53.447918,1.264637002,0.54,99,31,0,3
33,38318fba-8b8a-4ee3-bb66-8d678f1aad03,20,19,70,176,1,27.003891,55.335171,1.217798595,0.54,85,31,1,4
34,38318fba-8b8a-4ee3-bb66-8d678f1aad03,20,19,70,176,1,26.6031465,54.8335955,1.224489796,0.54,74,32,1,4
35,38318fba-8b8a-4ee3-bb66-8d678f1aad03,20,19,70,176,1,27.013771,59.710685,1.238095238,0.54,90,32,1,4
36,38318fba-8b8a-4ee3-bb66-8d678f1aad03,20,19,70,176,1,27.218237,60.414875,1.228668942,0.54,90,32,0,3
37,38318fba-8b8a-4ee3-bb66-8d678f1aad03,20,19,70,176,1,27.172043,60.3770925,1.187888199,0.54,69,31,0,3
38,38318fba-8b8a-4ee3-bb66-8d678f1aad03,21,19,70,176,1,27.2947135,61.801855,1.172638436,0.54,73,31,0,3
39,38318fba-8b8a-4ee3-bb66-8d678f1aad03,21,19,70,176,1,27.455414,62.985673,1.416464891,0.54,73,31,1,4
40,38318fba-8b8a-4ee3-bb66-8d678f1aad03,21,19,70,176,1,27.7383665,64.0955505,1.177394035,0.47,76,31,0,3
41,38318fba-8b8a-4ee3-bb66-8d678f1aad03,21,19,70,176,1,27.901252,64.441825,1.252319109,0.47,89,32,1,4
42,38318fba-8b8a-4ee3-bb66-8d678f1aad03,21,19,70,176,1,27.901252,64.441825,1.251580278,0.47,76,32,0,3
43,38318fba-8b8a-4ee3-bb66-8d678f1aad03,21,19,70,176,1,27.901252,64.441825,0.886699507,0.47,69,32,0,3
44,38318fba-8b8a-4ee3-bb66-8d678f1aad03,21,19,70,176,1,27.9266255,64.534175,1.271585557,0.47,97,32,0,3
45,38318fba-8b8a-4ee3-bb66-8d678f1aad03,21,19,70,176,1,27.968009,65.142767,1.211667913,0.47,75,32,0,3
46,38318fba-8b8a-4ee3-bb66-8d678f1aad03,22,19,70,176,1,28.0009915,63.8409075,1.205357143,0.47,71,31,0,3
47,38318fba-8b8a-4ee3-bb66-8d678f1aad03,22,19,70,176,1,27.844059,59.8524305,1.179554391,0.47,82,31,0,3
48,38318fba-8b8a-4ee3-bb66-8d678f1aad03,22,19,70,176,1,27.7044715,58.3099325,1.334231806,0.47,73,30,-1,2
49,38318fba-8b8a-4ee3-bb66-8d678f1aad03,22,19,70,176,1,27.7044715,58.3099325,1.139240506,0.47,81,30,0,3
50,38318fba-8b8a-4ee3-bb66-8d678f1aad03,22,19,70,176,1,27.5558985,56.694733,1.285714286,0.47,74,31,0,3
51,38318fba-8b8a-4ee3-bb66-8d678f1aad03,22,19,70,176,1,27.4189365,55.683585,1.158301158,0.47,69,31,1,4
52,38318fba-8b8a-4ee3-bb66-8d678f1aad03,23,19,70,176,1,27.4380625,56.720244,1.285714286,0.47,73,31,2,5
53,38318fba-8b8a-4ee3-bb66-8d678f1aad03,23,19,70,176,1,27.804409,59.706589,1.165299957,0.47,89,33,2,5
54,38318fba-8b8a-4ee3-bb66-8d678f1aad03,23,19,70,176,1,28.118435,62.4127815,1.38996139,0.47,73,32,1,4
55,38318fba-8b8a-4ee3-bb66-8d678f1aad03,23,19,70,176,1,28.415603,65.366805,1.215584416,0.47,76,32,1,4
56,38318fba-8b8a-4ee3-bb66-8d678f1aad03,21,19,70,176,1,25.911665,58.2351815,1.172932331,0.54,72,29,0,3
57,38318fba-8b8a-4ee3-bb66-8d678f1aad03,21,19,70,176,1,25.8903545,57.1923255,1.28113879,0.54,85,31,0,3
